time	acceleration
16.26	0.0031610698
16.28	0.0356894990
16.30	0.0298772080
16.32	0.0123383700
16.34	0.0344658580
16.36	0.0323244900
16.38	0.0259003790
16.40	0.0210058200
16.42	0.0201900590
16.44	0.0177427790
16.46	0.0021413698
16.48	-0.0146836790
16.50	-0.0349757080
16.52	-0.0345678300
16.54	-0.0147856490
16.56	-0.0028551599
16.58	0.0173348990
16.60	-0.0097891200
16.62	-0.0260023490
16.64	-0.0284496290
16.66	-0.0395643580
16.68	-0.0246767400
16.70	-0.0219235490
16.72	-0.0185585400
16.74	-0.0177427790
16.76	-0.0038748598
16.78	-0.0027531900
16.80	-0.0188644490
16.82	-0.0125423100
16.84	0.0088713895
16.86	0.0349757080
16.88	0.0708691480
16.90	0.0927926970
16.92	0.0869804100
16.94	0.0774971970
16.96	0.0523106070
16.98	0.0189664200
17.00	0.0015295499
17.02	-0.0193742990
17.04	-0.0153974700
17.06	-0.0074438099
17.08	0.0021413698
17.10	0.0131541290
17.12	0.0219235490
17.14	0.0024472800
17.16	-0.0126442790
17.18	-0.0335481300
17.20	-0.0529224300
17.22	-0.0721947610
17.24	-0.0590406300
17.26	-0.0471101390
17.28	-0.0313047900
17.30	-0.0147856490
17.32	-0.0009177299
17.34	-0.0183545990
17.36	-0.0324264580
17.38	-0.0474160480
17.40	-0.0398702670
17.42	-0.0351796490
17.44	-0.0322225190
17.46	-0.0443569480
17.48	-0.0500672670
17.50	-0.0484357480
17.52	-0.0428273990
17.54	-0.0368111670
17.56	-0.0282456900
17.58	-0.0263082580
17.60	-0.0141738290
17.62	-0.0069339600
17.64	0.0516987890
17.66	0.0736223340
17.68	0.0895296600
17.70	0.0797405340
17.72	0.0780070470
17.74	0.0447648300
17.76	0.0081575997
17.78	0.0013256099
17.80	-0.0128482200
17.82	-0.0015295499
17.84	0.0030590999
17.86	0.0106048790
17.88	0.0106048790
17.90	0.0196802090
17.92	0.0209038490
17.94	0.0075457798
17.96	-0.0057103197
17.98	-0.0073418396
18.00	0.0071378998
18.02	0.0108088200
18.04	0.0149895890
18.06	-0.0009177299
18.08	-0.0162132290
18.10	-0.0190683900
18.12	-0.0007137900
18.14	0.0158053490
18.16	0.0107068500
18.18	-0.0117265500
18.20	-0.0307949400
18.22	-0.0315087290
18.24	-0.0096871497
18.26	-0.0059142600
18.28	0.0004078800
18.30	0.0020393999
18.32	0.0050984998
18.34	0.0058122896
18.36	0.0098910895
18.38	0.0136639790
18.40	0.0180486900
18.42	0.0222294580
18.44	0.0266141690
18.46	0.0307949400
18.48	0.0352816170
18.50	0.0393604170
18.52	0.0483337800
18.54	0.0400742080
18.56	0.0242688580
18.58	0.0117265500
18.60	-0.0080556298
18.62	-0.0126442790
18.64	0.0055063799
18.66	0.0027531900
18.68	-0.0254924990
18.70	-0.0577150160
18.72	-0.0642410980
18.74	-0.0602642660
18.76	-0.0421136080
18.78	-0.0069339600
18.80	0.0277358400
18.82	0.0282456900
18.84	-0.0021413698
18.86	-0.0061181998
18.88	-0.0112167000
18.90	-0.0225353700
18.92	-0.0424195170
18.94	-0.0529224300
18.96	-0.0226373400
18.98	0.0030590999
19.00	0.0080556298
19.02	0.0141738290
19.04	0.0174368700
19.06	0.0257984080
19.08	0.0329363080
19.10	0.0398702670
19.12	0.0167230790
19.14	-0.0138679200
19.16	-0.0329363080
19.18	-0.0296732690
19.20	-0.0292653900
19.22	-0.0309988790
19.24	-0.0345678300
19.26	-0.0249826490
19.28	-0.0077497196
19.30	0.0127462500
19.32	0.0383407170
19.34	0.0409919390
19.36	0.0249826490
19.38	0.0159073200
19.40	-0.0040787999
19.42	-0.0156014100
19.44	-0.0294693290
19.46	-0.0322225190
19.48	-0.0113186700
19.50	0.0095851793
19.52	0.0341599490
19.54	0.0587347160
19.56	0.0432352800
19.58	0.0145817100
19.60	-0.0007137900
19.62	-0.0137659500
19.64	-0.0275318990
19.66	-0.0347717670
19.68	-0.0364032900
19.70	-0.0403801170
19.72	-0.0409919390
19.74	-0.0497613570
19.76	-0.0489455980
19.78	-0.0413998170
19.80	-0.0415017890
19.82	-0.0357914670
19.84	-0.0190683900
19.86	-0.0058122896
19.88	0.0044866799
19.90	-0.0019374299
19.92	-0.0073418396
19.94	-0.0172329290
19.96	-0.0117265500
19.98	0.0128482200
20.00	0.0365052580
20.02	0.0666883790
20.04	0.0730105160
20.06	0.0777011340
20.08	0.0753558290
20.10	0.0640371570
20.12	0.0493534800
20.14	0.0269200790
20.16	-0.0044866799
20.18	-0.0293673580
20.20	-0.0391564800
20.22	-0.0501692390
20.24	-0.0436431580
20.26	-0.0424195170
20.28	-0.0281437190
20.30	-0.0053024396
20.32	0.0241668900
20.34	0.0434392170
20.36	0.0615898790
20.38	0.0460904390
20.40	0.0289594790
20.42	0.0128482200
20.44	-0.0055063799
20.46	-0.0280417490
20.48	-0.0431333080
20.50	-0.0178447490
20.52	0.0001019700
20.54	0.0259003790
20.56	0.0490475670
20.58	0.0653627660
20.60	0.0564913800
20.62	0.0421136080
20.64	0.0187624790
20.66	-0.0048945600
20.68	-0.0308969080
20.70	-0.0541460670
20.72	-0.0721947610
20.74	-0.0946281600
20.76	-0.0880001100
20.78	-0.0643430660
20.80	-0.0383407170
20.82	0.0088713895
20.84	0.0315087290
20.86	0.0600603290
20.88	0.0626095790
20.90	0.0392584490
20.92	0.0357914670
20.94	0.0317126690
20.96	0.0250846200
20.98	0.0019374299
21.00	-0.0201900590
21.02	-0.0161112600
21.04	-0.0015295499
21.06	0.0100950290
21.08	0.0291634190
21.10	0.0416037580
21.12	0.0574091070
21.14	0.0541460670
21.16	0.0320185790
21.18	0.0168250490
21.20	-0.0024472800
21.22	-0.0192723290
21.24	-0.0281437190
21.26	-0.0378308670
21.28	-0.0458864980
21.30	-0.0544519800
21.32	-0.0492515080
21.34	-0.0386466300
21.36	-0.0301831190
21.38	-0.0199861200
21.40	-0.0187624790
21.42	-0.0162132290
21.44	-0.0121344290
21.46	-0.0054044100
21.48	0.0002039400
21.50	0.0060162299
21.52	-0.0023453099
21.54	-0.0114206390
21.56	-0.0209038490
21.58	-0.0328343400
21.60	-0.0395643580
21.62	-0.0347717670
21.64	-0.0292653900
21.66	-0.0334461580
21.68	-0.0415017890
21.70	-0.0496593890
21.72	-0.0574091070
21.74	-0.0656686790
21.76	-0.0565933480
21.78	-0.0454786170
21.80	-0.0008157600
21.82	0.0257984080
21.84	0.0419096670
21.86	0.0656686790
21.88	0.0590406300
21.90	0.0483337800
